,requested time,origin,destination,duration,duration_in_traffic,distance,routes
0,2024-04-09 07:21:47.332785,"151 Wellesley St W, Toronto, ON M7A 1A2, Canada","9 King's College Cir, Toronto, ON M5S 1A5, Canada",1.317 minutes,1.267 minutes,0.387 km,"['Head west on Wellesley St W toward Queens Pk Cres W', 'Turn left onto Queens Pk Cres W', 'Turn right onto Anatomy LnDestination will be on the right']"
1,2024-04-09 07:21:47.623108,"Wellesley St W / Queen's Park Cres, Toronto, ON M5S, Canada","23 Prince Arthur Ave, Toronto, ON M5R 1B2, Canada",6.467 minutes,5.217 minutes,1.622 km,"[""Head east on Wellesley St W toward Queen's Park Cres E"", ""Turn left onto Queen's Park Cres E"", ""Continue straight to stay on Queen's Park Cres E"", 'Keep left to continue on Queens Park', 'Queens Park turns slightly left and becomes Queens Pk Cres W', 'Turn right onto Hoskin Ave', 'Turn right onto Devonshire Pl', 'Turn right onto Bloor St W', 'Turn left onto Bedford Rd', 'Turn rightDestination will be on the left']"
